 Total Nb of available Diagnostics: ndiagt=   279
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTTTEND| 40 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
    99 |TOTSTEND| 40 |       |SMR     MR|g/kg/day        |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 40 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 40 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 40 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   103 |AB_gT   | 40 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 40 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 40 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 40 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 40 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 40 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH | 40 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH | 40 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH | 40 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH | 40 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH | 40 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH | 40 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH | 40 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT| 40 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT| 40 |   118 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT| 40 |   117 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   119 |DFrE_SLT| 40 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT| 40 |   121 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT| 40 |   120 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT| 40 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL| 40 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   124 |VISCAHZ | 40 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   125 |VISCA4Z | 40 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   126 |VISCAHD | 40 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   127 |VISCA4D | 40 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   128 |VISCAHW | 40 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   129 |VISCA4W | 40 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   130 |VAHZMAX | 40 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   131 |VA4ZMAX | 40 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   132 |VAHDMAX | 40 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   133 |VA4DMAX | 40 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   134 |VAHZMIN | 40 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMIN | 40 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMIN | 40 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMIN | 40 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZLTH | 40 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZLTH | 40 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDLTH | 40 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DLTH | 40 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTHD| 40 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTHD| 40 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTHD| 40 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTHD| 40 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZSMAG| 40 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZSMAG| 40 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   148 |VAHDSMAG| 40 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DSMAG| 40 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   150 |momKE   | 40 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   151 |momHDiv | 40 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   152 |momVort3| 40 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   153 |Strain  | 40 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   154 |Tension | 40 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   155 |Stretch | 40 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   156 |USidDrag| 40 |   157 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   157 |VSidDrag| 40 |   156 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   158 |Um_Diss | 40 |   159 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   159 |Vm_Diss | 40 |   158 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   160 |Um_ImplD| 40 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   161 |Vm_ImplD| 40 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   162 |Um_Advec| 40 |   163 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   163 |Vm_Advec| 40 |   162 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   164 |Um_Cori | 40 |   165 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   165 |Vm_Cori | 40 |   164 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   166 |Um_dPhiX| 40 |   167 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   167 |Vm_dPhiY| 40 |   166 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   168 |Um_Ext  | 40 |   169 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   169 |Vm_Ext  | 40 |   168 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   170 |Um_AdvZ3| 40 |   171 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   171 |Vm_AdvZ3| 40 |   170 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   172 |Um_AdvRe| 40 |   173 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   173 |Vm_AdvRe| 40 |   172 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   174 |botTauX |  1 |   175 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   175 |botTauY |  1 |   174 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   176 |ADVx_Um | 40 |   177 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   177 |ADVy_Um | 40 |   176 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   178 |ADVrE_Um| 40 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   179 |ADVx_Vm | 40 |   180 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   180 |ADVy_Vm | 40 |   179 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   181 |ADVrE_Vm| 40 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   182 |VISCx_Um| 40 |   183 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   183 |VISCy_Um| 40 |   182 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   184 |VISrE_Um| 40 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   185 |VISrI_Um| 40 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   186 |VISCx_Vm| 40 |   187 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   187 |VISCy_Vm| 40 |   186 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   188 |VISrE_Vm| 40 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   189 |VISrI_Vm| 40 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   190 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   191 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   192 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   193 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   194 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   195 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   196 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   197 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   198 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   199 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   201 |EXFurelw|  1 |       |UM      U1|m/s             |zonal relative 10-m wind speed, >0 eastward
   202 |EXFvrelw|  1 |       |VM      U1|m/s             |meridional relative 10-m wind speed, >0 northward
   203 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   204 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   205 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   206 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   207 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   208 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   209 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   210 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   211 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   212 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   213 |EXFsalfx|  1 |       |SM      U1|g/m^2/s         |upward salt flux, > 0 decreases salinity
   214 |KPPviscA| 40 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   215 |KPPdiffS| 40 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   216 |KPPdiffT| 40 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   217 |KPPghatK| 40 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   218 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   219 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   220 |KPPdbsfc| 40 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   221 |KPPbfsfc| 40 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   222 |KPPRi   | 40 |       |SM P    UR|non-dimensional |Bulk Richardson number
   223 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   224 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   225 |KPPdbloc| 40 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   226 |KPPshsq | 40 |       |SM P    UR|m^2/s^2         |Local shear (V(k-1)-V(k))^2
   227 |KPPdVsq | 40 |       |SM P    UR|m^2/s^2         |Shear relative to surface (V(ksrf)-V(k))**2
   228 |KPPnuddt| 40 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   229 |KPPnudds| 40 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   230 |KPPg_TH | 40 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   231 |KPPg_SLT| 40 |       |WM      LR|g/kg.m^3/s      |KPP non-local Flux of Salinity
   232 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   233 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   234 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   235 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   236 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   237 |SubMpsiX|  1 |   238 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   238 |SubMpsiY|  1 |   237 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   239 |GM_Kux  | 40 |   240 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   240 |GM_Kvy  | 40 |   239 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   241 |GM_Kuz  | 40 |   242 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   242 |GM_Kvz  | 40 |   241 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   243 |GM_Kwx  | 40 |   244 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   244 |GM_Kwy  | 40 |   243 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   245 |GM_Kwz  | 40 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   246 |GM_PsiX | 40 |   247 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   247 |GM_PsiY | 40 |   246 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   248 |GM_KuzTz| 40 |   249 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   249 |GM_KvzTz| 40 |   248 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   250 |GM_KwzTz| 40 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   251 |GM_ubT  | 40 |   252 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   252 |GM_vbT  | 40 |   251 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   253 |GM_BVPcW|  1 |   254 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   254 |GM_BVPcS|  1 |   253 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
   255 |TRAC01  | 40 |       |SMR     MR|mol/m^3         |Ocean Pollutant Concentration [mol/m^3] concentration
   256 |UTRAC01 | 40 |   257 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of Pollutant
   257 |VTRAC01 | 40 |   256 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of Pollutant
